,_q,PGC,GWGC,HyperLEDA,2MASS,SDSS-DR12,Flag1,RAJ2000,DEJ2000,Dist,z,Bmag,BMAG,Jmag,Hmag,Kmag,Flag2,Flag3
35,294,,---,SDSSJ101355.28+352223.3,---,---,G,153.48,35.37315,2630.27,0.466062263031,,,,,,2,0
36,295,,---,2175730,09295548+4106031,---,G,142.481171,41.100868,665.362126952,0.140355,18.302,-20.8133,15.098,14.313,13.882,1,0
37,295,,---,SDSSJ092950.34+410541.8,---,---,G,142.46,41.09497,1949.84,0.362469841235,,,,,,2,0
38,302,,---,SDSSJ092257.10+462304.1,---,---,G,140.738,46.38449,2301.44,0.416878558439,,,,,,2,0
39,307,,---,---,12503310-0927038,---,G,192.637939,-9.451078,66.2295197079,0.015798,13.709,-20.3963,10.597,9.945,9.677,3,1
40,307,43467,NGC4717,NGC4717,12503439-0927468,---,G,192.643295,-9.463022,70.3380883413,0.0132507966254,13.47,-20.766,10.978,10.28,10.007,3,1
41,307,43464,NGC4716,NGC4716,---,---,G,192.639,-9.45053,56.3816571343,0.0132413466207,13.58,-20.1757,,,,2,1
42,317,,---,2676242,---,---,G,164.388,65.30374,1614.36,0.308475454238,19.44,-21.6,,,,2,0
43,324,,---,---,17070350+6657266,---,G,256.764587,66.957413,493.373912699,0.106469,18.098,-20.3679,15.258,14.575,13.869,1,0
44,339,,---,1194431,11094852+0125232,---,G,167.452194,1.423129,438.531,0.095363987682,17.23,-20.98,15.067,14.418,14.036,2,0
45,350,,---,1386255,10354982+1054408,---,G,158.957611,10.911358,302.466039668,0.06711,16.356,-21.0474,14.386,13.427,13.211,1,0
46,352,,---,SDSSJ102054.61+084857.2,---,---,G,155.227,8.81589,2249.05,0.408898134449,,,,,,2,0
47,354,,---,---,---,102221.32+102623.7,Q,155.588848588,10.4399373421,3981.92140846,0.6552490592,,,,,,1,0
48,360,,---,---,---,094207.31+250614.8,Q,145.530497092,25.1041316516,21470.1332158,2.54632854462,,,,,,1,0
49,362,,---,SDSSJ095013.43+290934.0,---,---,G,147.556,29.15953,851.138,0.175541817771,,,,,,2,0
