JD,Band,Flux,Fluxerr,Mag,Magerr
2453293.48761,I,0.000812,0.000008,16.278061,0.010697
2453295.49209,I,0.000688,0.000006,16.457980,0.009469
2453299.49546,I,0.000923,0.000006,16.138947,0.007058
2453312.50456,I,0.000853,0.000012,16.224579,0.015274
2453416.8717,I,0.000895,0.000007,16.172394,0.008492
2453421.86847,I,0.000843,0.000008,16.237383,0.010304
2453425.88793,I,0.000812,0.000008,16.278061,0.010697
2453428.88394,I,0.000781,0.000007,16.320324,0.009731
2453432.85756,I,0.000984,0.000008,16.069464,0.008827
2453442.8582,I,0.001028,0.000009,16.021969,0.009505
2453444.91111,I,0.000966,0.000007,16.089509,0.007868
2453447.82425,I,0.001005,0.000007,16.046536,0.007562
2453449.83712,I,0.000967,0.000007,16.088385,0.007860
2453452.85771,I,0.001030,0.000007,16.019858,0.007379
2453454.91123,I,0.000912,0.000008,16.151964,0.009524
2453458.77034,I,0.000881,0.000007,16.189512,0.008627
2453459.81799,I,0.000840,0.000007,16.241253,0.009048
2453468.84673,I,0.000820,0.000006,16.267417,0.007944
2453469.85365,I,0.000831,0.000006,16.252949,0.007839
2453471.88118,I,0.000743,0.000008,16.374480,0.011690
2453473.84917,I,0.000826,0.000008,16.259501,0.010516
2453474.87259,I,0.000857,0.000007,16.219499,0.008868
2453476.74533,I,0.000861,0.000006,16.214444,0.007566
2453478.76107,I,0.000960,0.000007,16.096273,0.007917
2453479.89829,I,0.000909,0.000006,16.155542,0.007167
2453481.789,I,0.000831,0.000006,16.252949,0.007839
2453484.74478,I,0.000767,0.000009,16.339963,0.012740
2453496.6932,I,0.000945,0.000007,16.113372,0.008042
2453497.76062,I,0.000823,0.000008,16.263452,0.010554
2453499.71816,I,0.000805,0.000006,16.287462,0.008092
2453500.70098,I,0.000862,0.000006,16.213183,0.007557
2453501.73897,I,0.000896,0.000007,16.171182,0.008482
2453502.73758,I,0.000783,0.000006,16.317547,0.008320
2453503.66413,I,0.000926,0.000006,16.135424,0.007035
2453504.84322,I,0.000773,0.000006,16.331503,0.008427
2453506.85492,I,0.000825,0.000008,16.260817,0.010528
2453508.72132,I,0.000974,0.000009,16.080554,0.010032
2453509.75189,I,0.000839,0.000007,16.242547,0.009059
2453510.89218,I,0.000965,0.000006,16.090633,0.006751
2453511.80402,I,0.000897,0.000007,16.169970,0.008473
2453512.82746,I,0.000882,0.000007,16.188280,0.008617
2453517.82712,I,0.000840,0.000008,16.241253,0.010340
2453520.78436,I,0.000913,0.000007,16.150775,0.008324
2453522.7103,I,0.000795,0.000005,16.301034,0.006829
2453523.77143,I,0.000981,0.000006,16.072779,0.006641
2453523.91613,I,0.000951,0.000011,16.106500,0.012558
